zip,owner_utility,cca,notes,source
90406,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90501,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90501,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90501,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90502,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90502,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90502,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90503,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90503,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90504,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90504,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90505,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90505,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90506,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90506,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90509,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90509,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90510,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90601,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90601,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90602,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90602,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90603,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90603,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90604,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90604,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90605,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90605,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90606,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90606,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90607,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90607,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90608,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90620,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90620,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90621,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90621,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90622,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90622,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
