zip,owner_utility,cca,notes,source
90623,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90623,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90624,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90630,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90630,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90631,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90631,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90633,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90633,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90637,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90637,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90638,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90638,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90639,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90639,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90640,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90640,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90650,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90650,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90651,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90651,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90660,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90660,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90670,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90670,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90680,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90680,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90701,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90701,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90702,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90702,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90703,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90703,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90704,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90706,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90706,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90710,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90710,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90710,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90712,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90712,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90713,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90713,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90714,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90714,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90715,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90715,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90716,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90716,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90717,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90717,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90717,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90720,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90720,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90723,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90723,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90731,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90731,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90731,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90732,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90732,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90732,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90734,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90734,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90740,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90740,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90742,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90742,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90743,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90743,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90744,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90744,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90744,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90745,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90746,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90747,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90747,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90748,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90748,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90749,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90755,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90801,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90802,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90803,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90804,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90805,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90806,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90807,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90808,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90809,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90810,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90813,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90814,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90815,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90822,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90831,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90840,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90853,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90895,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91001,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91001,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91003,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91006,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91006,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91007,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91007,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91008,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91008,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91009,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91010,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91010,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91011,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91011,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91014,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91016,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91016,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91020,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91020,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91023,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91023,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91024,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91024,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91030,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91030,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91031,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91040,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91040,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91041,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91042,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91042,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91042,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91066,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91066,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91101,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91101,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91102,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91102,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91103,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91103,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91104,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91104,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91105,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91105,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91105,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91106,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91106,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91107,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91107,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91108,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91108,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91109,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91109,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91201,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91202,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91203,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91203,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91204,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91205,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91205,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91206,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91207,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91208,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91210,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91210,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91214,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91214,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91214,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91301,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91301,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91302,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91302,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91302,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91303,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91303,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91303,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91304,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91304,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91304,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91305,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91306,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91306,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91307,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91307,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91307,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91309,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91310,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91310,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91311,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91311,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91311,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91316,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
91316,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91319,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91319,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
91320,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
91320,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
